Geneid	Chr	Start	End	Strand	Length	Starch_S232	Starch_S235	Fat_S238	Starch_S233	Fat_S237	Starch_S231	Fat_S239	Fat_S236	Fat_S240
potD	U00096.3	1181783	1182829	-	1047	10	11	11	9	5	11	5	11	11
potC	U00096.3	1182826	1183620	-	795	7	8	6	5	5	6	11	7	14
potB	U00096.3	1183617	1184444	-	828	4	7	6	6	7	4	10	5	11
potA	U00096.3	1184458	1185594	-	1137	2	5	2	2	3	3	7	5	1
pepT	U00096.3	1185844	1187070	+	1227	197	190	223	202	168	195	199	184	185
roxA	U00096.3	1187119	1188240	-	1122	24	26	16	24	22	18	26	18	18
phoQ	U00096.3	1188316	1189776	-	1461	11	5	11	8	11	7	10	11	12
phoP	U00096.3	1189776	1190447	-	672	15	23	24	25	16	23	18	24	15
purB	U00096.3	1190616	1191986	-	1371	25	28	41	20	14	21	19	21	38
hflD	U00096.3	1191990	1192631	-	642	39	38	42	38	40	56	33	45	45
mnmA	U00096.3	1192667	1193773	-	1107	13	17	16	16	12	9	11	14	11
nudJ	U00096.3	1193827	1194288	-	462	8	3	3	7	3	7	1	5	3
rluE	U00096.3	1194298	1194951	-	654	2	1	4	2	3	2	1	5	3
icd	U00096.3	1195123	1196373	+	1251	23	23	28	29	24	20	23	21	20
ymfD	U00096.3	1196867	1197532	-	666	1	1	0	0	0	6	2	2	2
ymfE	U00096.3	1197533	1198237	-	705	0	0	0	1	0	0	0	0	3
lit	U00096.3	1198695	1199588	+	894	3	0	2	2	1	2	0	2	1
intE	U00096.3	1199679	1200806	-	1128	6	3	5	10	5	4	6	3	5
xisE	U00096.3	1200787	1201032	-	246	1	1	1	3	0	0	2	2	2
ymfH	U00096.3	1201069	1201380	-	312	0	0	2	2	0	0	0	0	0
ymfI	U00096.3	1201497	1201838	+	342	22	14	16	14	12	15	14	5	5
ymfJ	U00096.3	1201776	1202084	-	309	16	11	11	10	10	15	7	5	5
ymfK	U00096.3	1202259	1202933	-	675	27	26	31	16	23	17	19	11	19
ymfT	U00096.3	1203024	1203224	+	201	3	9	3	1	1	1	1	1	1
ymfL	U00096.3	1203268	1203825	+	558	4	2	3	2	0	5	3	1	4
ymfM	U00096.3	1203822	1204160	+	339	4	5	1	0	2	7	2	3	1
ymfN	U00096.3	1204170	1205537	+	1368	3	2	1	3	0	3	0	0	0
ymfR	U00096.3	1205549	1205731	+	183	0	0	0	0	1	0	0	0	1
beeE	U00096.3	1205731	1206204	+	474	0	0	2	0	0	0	0	0	1
ymfQ	U00096.3	1206913	1207497	+	585	0	0	0	2	0	0	0	1	0
ycfK	U00096.3	1207501	1208130	+	630	1	2	0	2	0	3	0	1	0
tfaP	U00096.3	1208132	1208545	+	414	8	6	5	5	0	11	4	4	6
tfaE	U00096.3	1208517	1209119	-	603	1	0	0	3	0	3	0	0	1
pinE	U00096.3	1209685	1210239	+	555	0	0	1	0	0	2	0	2	0
mcrA	U00096.3	1210346	1211179	+	834	4	6	3	2	6	1	1	3	3
iraM	U00096.3	1211680	1212003	-	324	0	0	1	0	0	0	0	0	0
ymgK	U00096.3	1212260	1212304	-	45	0	0	0	0	0	0	0	0	0
ymgL	U00096.3	1212540	1212650	-	111	0	0	0	0	0	0	0	0	0
ycgX	U00096.3	1212703	1213107	-	405	0	0	0	0	0	0	0	1	0
bluR	U00096.3	1213328	1214059	-	732	5	8	3	2	2	5	1	0	5
bluF	U00096.3	1214264	1215475	-	1212	3	4	4	3	0	1	2	1	2
ycgZ	U00096.3	1215789	1216025	+	237	0	0	0	2	0	0	0	0	0
ymgA	U00096.3	1216068	1216340	+	273	0	0	2	0	1	0	0	0	0
ariR	U00096.3	1216369	1216635	+	267	0	0	0	1	1	0	0	0	0
ymgC	U00096.3	1216748	1216996	+	249	0	0	1	0	0	0	0	1	1
pdeG	U00096.3	1217328	1218851	+	1524	1	3	7	2	2	4	2	1	1
ymgF	U00096.3	1218983	1219201	+	219	1	1	0	2	1	0	0	1	0
ymgD	U00096.3	1222305	1222634	-	330	7	13	11	4	6	13	6	5	15
ymgG	U00096.3	1222644	1222988	-	345	1	0	2	1	2	0	2	1	1
ymgI	U00096.3	1222990	1223163	-	174	7	1	5	6	4	3	3	5	4
ymgJ	U00096.3	1223264	1223449	+	186	0	1	2	2	0	3	0	0	0
minE	U00096.3	1224279	1224545	-	267	25	22	20	25	17	26	21	17	25
minD	U00096.3	1224549	1225361	-	813	23	18	12	21	12	27	16	11	16
minC	U00096.3	1225385	1226080	-	696	32	25	27	22	25	29	21	26	24
ycgJ	U00096.3	1226600	1226968	+	369	0	0	1	1	1	1	1	0	2
pliG	U00096.3	1227071	1227472	-	402	1	2	2	3	0	0	1	0	2
ycgL	U00096.3	1227681	1228007	+	327	15	15	17	12	11	19	22	24	21
ycgM	U00096.3	1228079	1228738	+	660	6	8	9	4	2	8	4	3	7
ycgN	U00096.3	1228815	1229276	+	462	5	10	8	4	4	7	5	7	10
hlyE	U00096.3	1229483	1230394	-	912	5	9	8	4	1	6	3	3	1
umuD	U00096.3	1230767	1231186	+	420	4	2	2	0	1	3	0	2	1
umuC	U00096.3	1231186	1232454	+	1269	6	3	3	1	4	5	2	1	2
dsbB	U00096.3	1232500	1233030	-	531	16	15	24	30	22	14	23	23	17
nhaB	U00096.3	1233176	1234717	-	1542	11	6	7	8	2	6	1	12	10
fadR	U00096.3	1234938	1235657	+	720	46	39	46	33	47	40	38	38	40
ycgB	U00096.3	1235709	1237241	-	1533	400	477	377	448	312	433	342	313	318
dadA	U00096.3	1237571	1238869	+	1299	9	8	11	7	5	5	4	4	5
dadX	U00096.3	1238879	1239949	+	1071	1	2	2	0	1	3	3	2	2
ymgM	U00096.3	1240260	1240463	+	204	1	0	0	0	1	1	0	0	0
cvrA	U00096.3	1240335	1242071	-	1737	4	7	6	9	5	8	6	5	2
ldcA	U00096.3	1242166	1243080	-	915	16	16	11	12	8	22	20	13	7
emtA	U00096.3	1243180	1243791	+	612	26	17	30	20	16	23	17	36	24
ycgR	U00096.3	1243793	1244527	-	735	2	1	3	1	4	2	2	0	1
ymgE	U00096.3	1244728	1244982	+	255	8	4	6	11	2	2	2	2	0
ycgY	U00096.3	1245160	1245600	+	441	7	3	3	3	3	6	5	4	6
treA	U00096.3	1245679	1247376	-	1698	7	10	8	4	4	6	4	4	4
dhaM	U00096.3	1247696	1249114	-	1419	54	60	35	55	41	36	50	55	62
dhaL	U00096.3	1249125	1249757	-	633	15	11	12	9	12	15	11	13	16
dhaK	U00096.3	1249768	1250838	-	1071	20	12	18	14	8	15	11	16	18
dhaR	U00096.3	1251066	1252985	+	1920	7	5	7	3	8	3	4	4	4
ycgV	U00096.3	1253085	1255952	-	2868	10	9	14	9	6	15	11	8	12
ychF	U00096.3	1256721	1257812	-	1092	35	41	30	32	31	23	28	29	35
pth	U00096.3	1257929	1258513	-	585	3	4	4	4	2	6	7	5	6
ychH	U00096.3	1258791	1259069	+	279	267	391	263	307	173	284	210	179	155
dauA	U00096.3	1259124	1260803	-	1680	12	10	3	7	9	8	5	8	10
prs	U00096.3	1260928	1261875	-	948	179	166	157	157	139	135	147	165	174
ispE	U00096.3	1262026	1262877	-	852	23	22	33	24	26	33	26	35	32
lolB	U00096.3	1262877	1263500	-	624	31	37	43	26	28	41	33	40	33
hemA	U00096.3	1263714	1264970	+	1257	37	31	44	42	30	37	27	37	41
prfA	U00096.3	1265012	1266094	+	1083	31	33	34	25	19	21	20	24	37
prmC	U00096.3	1266094	1266927	+	834	9	6	19	15	7	10	9	10	13
ychQ	U00096.3	1266924	1267316	+	393	19	19	20	11	14	13	18	14	14
ychA	U00096.3	1267320	1268129	+	810	65	54	65	48	38	63	57	56	66
kdsA	U00096.3	1268165	1269019	+	855	36	39	38	34	30	25	23	31	34
ldrA	U00096.3	1269168	1269275	-	108	0	0	1	1	2	1	0	1	2
rdlA	U00096.3	1269323	1269389	+	67	0	1	0	0	1	1	0	0	0
ldrB	U00096.3	1269703	1269810	-	108	0	1	0	0	0	2	2	0	2
rdlB	U00096.3	1269858	1269923	+	66	0	0	0	0	0	0	0	0	1
ldrC	U00096.3	1270238	1270345	-	108	2	1	0	0	1	2	0	0	1
rdlC	U00096.3	1270393	1270460	+	68	0	1	0	0	2	0	0	0	0
chaA	U00096.3	1270749	1271849	-	1101	7	4	6	3	2	1	4	1	3
chaB	U00096.3	1272119	1272349	+	231	3	2	3	1	2	0	3	3	1
chaC	U00096.3	1272507	1273202	+	696	2	4	3	4	1	4	1	1	2
ychN	U00096.3	1273246	1273599	-	354	4	4	10	4	8	4	7	4	3
ychO	U00096.3	1273784	1275178	+	1395	2	7	5	6	2	3	1	2	3
narL	U00096.3	1275179	1275829	-	651	2	5	4	1	3	5	0	3	1
narX	U00096.3	1275822	1277618	-	1797	17	21	24	11	17	8	25	27	13
narK	U00096.3	1277957	1279348	+	1392	5	3	4	3	6	3	5	3	1
narG	U00096.3	1279864	1283607	+	3744	184	154	194	132	173	146	178	193	213
narH	U00096.3	1283604	1285142	+	1539	197	184	220	171	205	199	256	236	250
narJ	U00096.3	1285139	1285849	+	711	39	28	51	26	45	49	69	53	62
narI	U00096.3	1285849	1286526	+	678	34	20	43	22	36	39	41	43	42
ychS	U00096.3	1286709	1286984	+	276	2	0	2	1	2	1	1	0	2
rttR	U00096.3	1287066	1287236	-	171	0	0	0	0	0	1	0	0	0
tpr	U00096.3	1287087	1287176	-	90	0	0	0	0	0	0	0	0	0
tyrV	U00096.3	1287244	1287328	-	85	0	0	1	0	0	0	0	0	0
tyrT	U00096.3	1287538	1287622	-	85	1	0	1	0	0	0	0	0	0
purU	U00096.3	1287782	1288624	-	843	32	22	34	18	14	29	17	26	24
ychJ	U00096.3	1288674	1289132	-	459	6	4	4	4	6	6	5	5	6
rssA	U00096.3	1289245	1290150	+	906	5	6	10	7	3	8	8	6	5
rssB	U00096.3	1290242	1291255	+	1014	46	45	39	39	27	39	29	36	27
galU	U00096.3	1291457	1292365	+	909	30	30	47	23	21	36	22	30	28
hns	U00096.3	1292509	1292922	-	414	391	430	462	412	346	401	392	427	427
tdk	U00096.3	1293527	1294144	+	618	3	4	3	2	3	0	0	4	4
adhE	U00096.3	1295446	1298121	-	2676	1100	1091	1287	1058	1068	1029	1275	1153	1171
ychE	U00096.3	1298598	1299245	+	648	8	4	13	7	3	1	5	4	7
insH21	U00096.3	1299531	1300547	+	1017	40	33	43	36	28	52	22	38	54
oppA	U00096.3	1301182	1302813	+	1632	508	457	521	459	418	431	458	447	452
oppB	U00096.3	1302899	1303819	+	921	21	22	21	11	18	14	14	11	10
oppC	U00096.3	1303834	1304742	+	909	8	4	8	1	3	7	8	4	6
oppD	U00096.3	1304754	1305767	+	1014	34	32	26	33	23	32	25	21	30
oppF	U00096.3	1305764	1306768	+	1005	21	16	17	19	7	13	18	14	10
yciU	U00096.3	1306821	1307150	-	330	14	12	10	11	8	14	9	10	8
clsA	U00096.3	1307185	1308645	-	1461	6	7	7	4	3	1	5	1	6
yciY	U00096.3	1308788	1308961	+	174	72	65	79	59	55	57	46	60	59
kch	U00096.3	1309016	1310269	-	1254	17	25	26	15	17	13	16	27	24
yciI	U00096.3	1310569	1310865	-	297	8	12	7	6	8	9	11	9	5
tonB	U00096.3	1311089	1311808	+	720	6	6	11	4	8	10	6	9	10
yciA	U00096.3	1311848	1312246	-	399	6	9	10	4	12	6	3	6	12
yciB	U00096.3	1312351	1312890	-	540	44	26	42	28	27	29	44	29	37
yciC	U00096.3	1312920	1313663	-	744	14	15	12	10	5	9	5	9	7
ompW	U00096.3	1314020	1314658	+	639	73	49	57	77	62	47	70	49	58
yciE	U00096.3	1314718	1315224	-	507	2	3	2	1	3	1	3	1	1
yciF	U00096.3	1315270	1315770	-	501	0	0	2	0	0	0	0	0	0
yciG	U00096.3	1315856	1316035	-	180	1	3	0	1	0	8	1	0	0
trpA	U00096.3	1316416	1317222	-	807	4	4	8	8	10	10	7	1	9
trpB	U00096.3	1317222	1318415	-	1194	2	6	2	7	1	1	2	4	0
trpC	U00096.3	1318427	1319788	-	1362	4	11	4	1	1	4	3	2	3
trpD	U00096.3	1319789	1321384	-	1596	6	3	4	1	1	2	2	1	1
trpE	U00096.3	1321384	1322946	-	1563	1	0	0	2	2	1	1	1	1
trpL	U00096.3	1323038	1323082	-	45	0	0	0	0	2	1	0	0	0
yciV	U00096.3	1323220	1324101	+	882	53	37	47	43	31	36	37	52	39
yciO	U00096.3	1324098	1324718	+	621	68	49	57	55	45	42	55	54	33
yciQ	U00096.3	1324746	1326641	+	1896	20	14	20	16	9	15	14	6	11
rluB	U00096.3	1326852	1327727	+	876	2	4	4	3	5	3	3	3	4
btuR	U00096.3	1327767	1328357	-	591	25	11	26	17	14	19	18	17	31
yciK	U00096.3	1328354	1329112	-	759	4	8	5	5	3	8	4	3	10
sohB	U00096.3	1329332	1330381	+	1050	15	15	23	18	12	17	17	20	14
yciN	U00096.3	1330417	1330668	-	252	51	47	45	50	43	36	35	39	40
topA	U00096.3	1331048	1333645	+	2598	82	80	76	81	70	91	81	89	108
cysB	U00096.3	1333855	1334829	+	975	15	13	10	6	16	12	8	7	12
ymiA	U00096.3	1335124	1335288	+	165	10	9	7	16	11	15	11	7	5
yciX	U00096.3	1335291	1335458	+	168	18	18	11	21	12	19	11	12	12
ymiC	U00096.3	1335572	1335667	+	96	0	4	4	3	1	7	1	5	1
acnA	U00096.3	1335831	1338506	+	2676	9	13	9	8	8	12	9	5	12
ribA	U00096.3	1338570	1339160	-	591	117	102	135	117	89	101	82	94	90
pgpB	U00096.3	1339330	1340094	+	765	22	25	22	27	16	19	18	26	24
lapA	U00096.3	1340243	1340551	+	309	8	11	15	10	5	15	8	5	13
lapB	U00096.3	1340558	1341727	+	1170	9	14	6	12	6	8	8	11	6
pyrF	U00096.3	1341921	1342658	+	738	3	3	5	2	0	2	1	1	6
yciH	U00096.3	1342658	1342984	+	327	6	9	11	8	7	12	4	6	5
osmB	U00096.3	1343110	1343328	-	219	56	98	61	84	32	76	34	27	29
yciT	U00096.3	1343597	1344346	-	750	29	32	34	17	12	23	27	19	22
yciZ	U00096.3	1344436	1344609	-	174	11	5	6	3	8	5	6	7	10
pdeR	U00096.3	1344757	1346742	-	1986	18	16	14	16	8	9	16	7	7
ymiB	U00096.3	1346796	1346900	+	105	3	1	0	2	1	4	1	2	2
rnb	U00096.3	1346978	1348912	-	1935	28	32	34	23	16	23	24	32	25
yciW	U00096.3	1348980	1350107	-	1128	5	9	0	3	2	4	4	1	3
fabI	U00096.3	1350251	1351039	-	789	63	56	78	58	47	47	36	53	53
ycjD	U00096.3	1351407	1351760	-	354	5	4	7	3	3	9	4	8	4
sapF	U00096.3	1351828	1352634	-	807	10	18	13	7	7	16	6	5	11
sapD	U00096.3	1352636	1353628	-	993	17	16	11	6	10	9	9	8	12
sapC	U00096.3	1353628	1354518	-	891	3	5	3	3	3	5	1	3	7
sapB	U00096.3	1354505	1355470	-	966	7	7	4	9	4	3	3	8	11
sapA	U00096.3	1355467	1357110	-	1644	10	15	16	6	11	18	5	16	6
ymjA	U00096.3	1357423	1357668	-	246	9	7	6	7	4	8	14	7	3
puuP	U00096.3	1357802	1359187	-	1386	5	1	4	6	0	4	2	0	1
ymjE	U00096.3	1359177	1359341	-	165	2	2	0	4	0	0	0	0	1
puuA	U00096.3	1359490	1360908	-	1419	4	6	5	6	1	8	5	4	9
puuD	U00096.3	1361120	1361884	+	765	13	20	16	17	14	24	13	15	3
puuR	U00096.3	1361911	1362468	+	558	4	1	3	2	3	1	4	3	2
puuC	U00096.3	1362743	1364230	+	1488	1	4	5	2	0	1	2	0	0
puuB	U00096.3	1364232	1365512	+	1281	1	6	2	0	0	1	0	1	0
puuE	U00096.3	1365550	1366815	+	1266	3	2	2	2	2	3	0	0	2
pspF	U00096.3	1366935	1367912	-	978	3	13	8	13	7	6	4	7	5
pspA	U00096.3	1368079	1368747	+	669	62	58	97	47	35	66	40	43	34
pspB	U00096.3	1368801	1369025	+	225	2	3	3	5	3	0	6	0	1
pspC	U00096.3	1369025	1369384	+	360	4	6	8	1	5	2	3	4	7
pspD	U00096.3	1369393	1369614	+	222	10	20	28	13	18	20	11	14	16
pspE	U00096.3	1369689	1370003	+	315	13	9	14	18	9	9	10	6	8
ycjM	U00096.3	1370216	1371895	+	1680	3	4	6	0	0	1	1	0	3
ycjN	U00096.3	1371909	1373201	+	1293	2	1	2	1	1	3	2	0	0
ycjO	U00096.3	1373222	1374103	+	882	2	4	2	5	0	4	2	0	1
ycjP	U00096.3	1374090	1374932	+	843	0	2	0	0	0	1	2	1	0
ycjQ	U00096.3	1374963	1376015	+	1053	3	1	2	0	2	4	1	2	0
ycjR	U00096.3	1376034	1376822	+	789	1	2	1	2	1	2	0	1	0
ycjS	U00096.3	1376832	1377887	+	1056	0	1	2	3	0	4	2	1	0
ycjT	U00096.3	1377884	1380151	+	2268	2	0	4	1	2	2	1	2	1
ycjU	U00096.3	1380148	1380807	+	660	0	1	3	0	0	1	4	0	1
ompG	U00096.3	1381947	1382852	+	906	2	1	1	2	1	2	0	0	0
ycjW	U00096.3	1382963	1383961	-	999	5	7	4	6	1	3	4	7	2
ycjX	U00096.3	1384117	1385514	+	1398	32	28	48	31	37	35	46	48	58
ycjF	U00096.3	1385511	1386572	+	1062	24	19	14	18	19	22	15	10	26
tyrR	U00096.3	1386720	1388261	+	1542	26	23	28	16	14	16	21	18	20
tpx	U00096.3	1388305	1388811	-	507	55	61	66	58	38	59	44	42	52
ycjG	U00096.3	1388930	1389895	+	966	14	16	20	30	15	14	10	18	17
mpaA	U00096.3	1389870	1390598	-	729	2	4	4	9	5	3	3	5	3
ymjC	U00096.3	1390680	1390862	-	183	16	23	26	10	12	10	8	10	11
ymjD	U00096.3	1390868	1390933	-	66	0	1	0	2	0	1	1	0	0
ycjY	U00096.3	1390933	1391853	-	921	6	3	3	4	0	3	8	2	0
pgrR	U00096.3	1391991	1392890	+	900	3	2	5	4	1	0	1	6	2
mppA	U00096.3	1393227	1394840	+	1614	21	7	12	11	12	10	14	12	12
ynaI	U00096.3	1394891	1395922	-	1032	8	6	10	9	6	6	8	6	8
insH-4	U00096.3	1396076	1397092	+	1017	41	20	41	27	41	43	30	44	27
ynaJ	U00096.3	1397365	1397622	+	258	92	87	99	94	41	65	44	53	44
uspE	U00096.3	1397672	1398622	-	951	438	452	479	422	394	427	429	446	472
fnr	U00096.3	1398774	1399526	-	753	124	105	139	101	95	100	93	105	123
ogt	U00096.3	1399721	1400236	-	516	4	2	4	4	3	8	3	2	2
abgT	U00096.3	1400247	1401773	-	1527	5	5	0	2	1	3	2	1	2
abgB	U00096.3	1401810	1403255	-	1446	1	2	3	1	2	6	2	5	2
abgA	U00096.3	1403255	1404565	-	1311	0	2	3	1	1	1	2	1	1
abgR	U00096.3	1404741	1405649	+	909	7	7	3	1	4	3	5	4	6
mcaS	U00096.3	1405659	1405751	-	93	0	2	0	1	2	0	0	0	0
smrA	U00096.3	1405979	1406542	+	564	7	4	3	1	2	2	4	0	1
dgcM	U00096.3	1406563	1407795	-	1233	4	15	2	5	3	2	6	5	6
zntB	U00096.3	1408050	1409033	+	984	1	5	6	3	1	2	1	4	2
fnrS	U00096.3	1409129	1409247	+	119	251	244	291	234	221	237	238	259	253
ynaL	U00096.3	1409308	1409481	+	174	6	3	1	2	3	6	3	1	2
dbpA	U00096.3	1409511	1410884	+	1374	12	11	12	4	9	6	12	3	9
ttcA	U00096.3	1411013	1411948	-	936	39	43	47	52	32	36	32	49	31
intR	U00096.3	1412000	1413235	-	1236	5	10	5	14	10	5	12	6	5
xisR	U00096.3	1413237	1413452	-	216	4	1	3	2	3	1	6	4	2
rcbA	U00096.3	1413531	1413740	-	210	0	0	1	0	0	0	0	0	2
ralA	U00096.3	1413556	1413734	+	179	0	0	1	0	0	0	0	0	1
ralR	U00096.3	1413733	1413927	-	195	0	0	0	2	0	0	1	0	0
recT	U00096.3	1413984	1414793	-	810	4	2	2	5	4	0	1	3	2
recE	U00096.3	1414786	1417386	-	2601	7	4	5	3	1	3	3	1	2
racC	U00096.3	1417488	1417763	-	276	2	2	0	0	0	2	0	0	0
ydaE	U00096.3	1417838	1418008	-	171	2	0	0	0	0	1	0	0	0
kilR	U00096.3	1418008	1418229	-	222	2	0	0	1	0	1	1	0	1
sieB	U00096.3	1418671	1419159	+	489	0	2	4	3	0	1	1	0	3
ydaF	U00096.3	1419156	1419311	-	156	1	0	0	0	0	0	0	0	0
ydaG	U00096.3	1419322	1419456	-	135	1	0	0	1	1	0	0	1	0
racR	U00096.3	1419765	1420241	-	477	7	9	3	2	8	4	9	5	5
ydaS	U00096.3	1420365	1420661	+	297	3	2	6	3	0	0	1	3	1
ydaT	U00096.3	1420684	1421106	+	423	4	2	2	1	1	6	2	1	1
ydaU	U00096.3	1421119	1421976	+	858	3	2	3	1	0	3	4	0	0
ydaV	U00096.3	1421983	1422729	+	747	0	0	1	1	1	0	0	1	0
ydaW	U00096.3	1422752	1423312	+	561	2	5	0	3	2	3	1	1	0
rzoR	U00096.3	1423400	1423585	+	186	2	1	2	1	1	2	4	1	1
trkG	U00096.3	1423782	1425239	+	1458	3	5	1	5	0	3	3	2	1
ynaK	U00096.3	1425377	1425640	+	264	1	1	1	2	0	1	0	0	0
ydaY	U00096.3	1425621	1425980	+	360	0	0	1	0	1	0	0	0	0
ynaA	U00096.3	1426454	1427482	+	1029	2	7	7	3	1	6	4	3	1
insH-5	U00096.3	1427746	1428726	-	981	4	3	3	2	4	3	1	3	2
stfR	U00096.3	1429049	1432411	+	3363	3	2	7	1	1	5	1	0	2
tfaR	U00096.3	1432411	1432986	+	576	2	2	0	1	0	2	0	2	0
pinR	U00096.3	1433084	1433674	-	591	1	0	2	0	0	0	0	0	0
ynaE	U00096.3	1433991	1434224	-	234	0	0	0	3	0	0	0	0	0
ynaM	U00096.3	1434293	1434406	-	114	0	0	0	0	0	0	0	1	0
uspF	U00096.3	1435185	1435619	-	435	105	149	118	142	97	158	92	91	92
ompN	U00096.3	1435760	1436893	-	1134	12	17	17	9	9	13	7	11	10
micC	U00096.3	1437121	1437229	+	109	0	1	1	0	0	0	0	0	0
ydbK	U00096.3	1437260	1440784	-	3525	148	153	144	128	108	139	132	157	133
ydbJ	U00096.3	1441058	1441324	+	267	6	2	8	5	3	10	4	4	4
hslJ	U00096.3	1441321	1441743	-	423	24	22	28	26	19	29	21	22	17
ldhA	U00096.3	1441854	1442843	-	990	40	44	46	30	35	35	34	27	36
ydbH	U00096.3	1443051	1445690	+	2640	9	15	20	17	10	8	11	18	12
ynbE	U00096.3	1445687	1445872	+	186	0	0	0	0	0	0	1	1	0
ydbL	U00096.3	1445880	1446206	+	327	3	5	8	1	0	1	4	0	3
feaR	U00096.3	1446378	1447283	-	906	1	2	4	0	3	2	2	6	3
feaB	U00096.3	1447519	1449018	+	1500	8	5	4	5	4	3	3	4	2
tynA	U00096.3	1449076	1451349	-	2274	3	6	4	3	2	5	4	1	5
paaZ	U00096.3	1451597	1453642	-	2046	1	2	0	2	5	2	1	6	2
paaA	U00096.3	1453927	1454856	+	930	1	1	1	0	0	4	0	0	0
paaB	U00096.3	1454868	1455155	+	288	0	1	0	0	0	0	0	0	1
paaC	U00096.3	1455164	1455910	+	747	1	1	0	0	2	1	0	1	0
paaD	U00096.3	1455925	1456422	+	498	0	0	0	0	2	0	1	2	0
paaE	U00096.3	1456430	1457500	+	1071	1	0	1	2	0	3	2	2	1
paaF	U00096.3	1457497	1458264	+	768	1	0	2	1	2	3	0	1	0
paaG	U00096.3	1458264	1459052	+	789	2	1	1	0	0	1	1	0	2
paaH	U00096.3	1459054	1460481	+	1428	1	3	3	1	0	3	0	3	1
paaI	U00096.3	1460471	1460893	+	423	1	0	0	2	0	2	0	0	1
paaJ	U00096.3	1460893	1462098	+	1206	6	8	9	1	6	6	4	5	8
paaK	U00096.3	1462125	1463438	+	1314	4	4	5	8	7	4	2	1	5
paaX	U00096.3	1463539	1464489	+	951	3	11	8	12	3	4	7	3	6
paaY	U00096.3	1464471	1465061	+	591	4	4	13	11	6	7	8	6	6
ynbG	U00096.3	1465165	1465230	-	66	1	2	1	0	0	1	0	2	2
insD-2	U00096.3	1467921	1468826	-	906	0	2	3	4	4	3	2	3	1
insC-2	U00096.3	1468784	1469149	-	366	3	5	4	3	4	5	2	6	5
insI-2	U00096.3	1469358	1470509	+	1152	6	10	5	10	5	8	4	10	6
pdxI	U00096.3	1474221	1475081	+	861	16	7	26	21	21	14	15	15	24
ydbD	U00096.3	1475144	1477450	+	2307	5	3	8	4	2	1	6	4	2
ynbA	U00096.3	1477621	1478226	+	606	0	0	2	0	0	2	0	0	0
ynbB	U00096.3	1478226	1479122	+	897	2	4	0	0	0	0	1	1	0
ynbC	U00096.3	1479138	1480895	+	1758	2	5	3	5	3	7	3	4	3
ynbD	U00096.3	1480909	1482201	+	1293	2	4	3	2	5	6	1	3	5
azoR	U00096.3	1482255	1482860	-	606	2	2	3	2	2	1	2	1	3
hrpA	U00096.3	1483061	1486963	+	3903	105	93	94	101	88	102	87	98	110
ydcF	U00096.3	1487235	1488035	+	801	29	36	37	24	38	35	32	47	30
aldA	U00096.3	1488232	1489671	+	1440	13	18	5	15	9	11	8	3	7
cybB	U00096.3	1490902	1491432	+	531	3	6	4	3	2	5	3	3	6
rydC	U00096.3	1491443	1491506	-	64	0	0	4	1	1	1	0	4	0
ydcA	U00096.3	1491677	1491850	+	174	3	2	5	5	3	2	3	0	10
hokB	U00096.3	1491922	1492071	-	150	0	2	1	0	0	0	0	0	1
mokB	U00096.3	1491962	1492129	-	168	1	4	1	1	0	1	0	0	1
sokB	U00096.3	1492119	1492174	+	56	1	3	0	2	1	1	1	1	0
trg	U00096.3	1492470	1494110	+	1641	5	7	6	4	7	5	10	7	6
ydcI	U00096.3	1494148	1495071	-	924	4	0	0	2	1	4	5	2	1
ydcJ	U00096.3	1495288	1496631	+	1344	12	10	9	15	11	14	9	10	5
opgD	U00096.3	1496856	1498511	+	1656	79	64	68	69	57	66	61	64	64
ydcH	U00096.3	1498651	1498875	+	225	462	426	502	416	346	391	335	351	392
rimL	U00096.3	1498938	1499477	+	540	10	8	10	9	5	5	7	6	5
ydcK	U00096.3	1499469	1500449	-	981	13	6	13	13	7	11	11	5	8
tehA	U00096.3	1500573	1501565	+	993	14	23	25	27	17	15	19	20	18
tehB	U00096.3	1501562	1502155	+	594	18	27	32	35	23	26	22	21	17
ydcL	U00096.3	1502457	1503125	+	669	74	93	92	118	55	74	47	49	52
insQ	U00096.3	1503717	1504865	+	1149	15	15	25	24	22	14	15	25	24
ydcO	U00096.3	1504905	1506080	-	1176	6	4	4	2	3	4	3	4	2
sutR	U00096.3	1506172	1506708	+	537	1	1	3	2	0	6	1	0	0
rlhA	U00096.3	1506781	1508742	+	1962	24	33	27	30	17	22	27	33	26
yncJ	U00096.3	1508834	1509064	-	231	1	1	1	1	3	1	0	0	1
hicA	U00096.3	1509286	1509462	+	177	2	0	0	1	4	2	1	1	0
hicB	U00096.3	1509508	1509924	+	417	8	4	7	10	4	7	4	7	9
ydcR	U00096.3	1510003	1511409	+	1407	13	6	12	16	8	10	6	5	6
ydcS	U00096.3	1511654	1512799	+	1146	18	15	26	32	13	22	14	16	11
ydcT	U00096.3	1512817	1513830	+	1014	4	4	3	5	1	8	2	2	3
ydcU	U00096.3	1513831	1514772	+	942	3	0	2	3	1	0	0	0	1
ydcV	U00096.3	1514762	1515556	+	795	3	6	4	9	5	7	3	1	3
patD	U00096.3	1515578	1517002	+	1425	12	32	28	22	19	16	21	15	22
yncL	U00096.3	1517099	1517194	-	96	19	17	17	13	11	16	8	13	18
