Name	Direction	TU_start	TU_end	Genes
glgCAP	-	3564082.0	3569571.0	glgP,glgA,glgC
ysaA	-	3741109.0	3741582.0	ysaA
glnAZLG	-	4053869.0	4058222.0	glnZ,glnG,glnL,glnA
osmC	+	1556596.0	1557056.0	osmC
ybcH	-	587091.0	588070.0	ybcH
marRAB	+	1619093.0	1620207.0	marR,marA,marB
yecF	+	1995717.0	1996088.0	yecF
aroH	+	1788318.0	1789510.0	aroH
yjeFE-amiB-mutL-miaA-hfq-hflXKC	+	4393677.0	4404304.0	tsaE,nnr,amiB,mutL,miaA,hfq,hflX,hflK,hflC
yfcV	-	2455083.0	2455821.0	yfcV
rsgA	-	4390457.0	4391566.0	rsgA
yaaX	+	5030.0	5530.0	yaaX
lacZYA	-	361140.0	366377.0	lacA,lacY,lacZ
uspF	-	1435185.0	1435641.0	uspF
fucPIKUR	+	2934119.0	2940099.0	fucP,fucI,fucK,fucU,fucR
mqsA	-	3167851.0	3168397.0	mqsA
qseBC	+	3169749.0	3171833.0	qseC,qseB
idnDOTR	-	4490141.0	4494435.0	idnR,idnT,idnO,idnD
yqhG	+	3157545.0	3158576.0	yqhG
ycaL	+	960132.0	961028.0	ycaL
ychJ	-	1288674.0	1289177.0	ychJ
glcDEFGBA	-	3119597.0	3128076.0	glcA,glcB,glcG,glcF,glcE,glcD
ypjD	+	2747846.0	2748753.0	ypjD
sixA	-	2456327.0	2456999.0	sixA
ibaG-murA	-	3335235.0	3336833.0	murA,ibaG
yghO	-	3129043.0	3130215.0	yghO
talA-tktB	+	2578570.0	2581639.0	tktB,talA
ygjR	+	3237282.0	3238297.0	ygjR
prlC-yhiQ	-	3642380.0	3645238.0	prlC,rsmJ
abrB	-	746723.0	747769.0	abrB
priC-ybaM	-	490110.0	490812.0	priC,ybaM
polA	+	4046940.0	4049752.0	polA
clpA	+	923080.0	925540.0	clpA
asnC-mioC	-	3926012.0	3927031.0	mioC,asnC
moaABCDE	+	816827.0	819747.0	moaE,moaD,moaC,moaB,moaA
gpt	+	255914.0	256474.0	gpt
ydiK	+	1769074.0	1770186.0	ydiK
nsrR-rnr-rlmB-yjfI	+	4406044.0	4410534.0	yjfI,rlmB,rnr,nsrR
rclR	+	320227.0	321081.0	rclR
rraB	+	4478384.0	4478889.0	rraB
yhhS	-	3610516.0	3611733.0	yhhS
yhiS	+	3651291.0	3653713.0	yhiS
ssuEADCB	-	993277.0	997563.0	ssuB,ssuC,ssuD,ssuA,ssuE
pepT	+	1185823.0	1187070.0	pepT
yjdC	-	4362733.0	4363330.0	dicD
ydeO	-	1582926.0	1583687.0	ydeO
feaB	+	1447370.0	1449063.0	feaB
entS	+	622253.0	623550.0	entS
emtA	+	1243125.0	1243791.0	emtA
yqiJK	+	3192054.0	3194525.0	yqiK,yqiJ
trg	+	1492439.0	1494110.0	trg
slyX	+	3477431.0	3477858.0	slyX
queG	-	4392928.0	4394092.0	queG
deoR	-	881976.0	882734.0	deoR
ilvIH	+	85420.0	87848.0	ilvH,ilvI
yraR	-	3298211.0	3298897.0	yraR
hldE	-	3195320.0	3196753.0	hldE
folC-dedD	-	2430850.0	2432942.0	folC,dedD
hemA-prfA-prmC	+	1263676.0	1266927.0	prmC,prfA,hemA
lhr	+	1728353.0	1733740.0	lhr
rimO	-	876710.0	878070.0	rimO
ymiD	+	1344647.0	1344775.0	ymiD
yebE	-	1929048.0	1929732.0	yebE
hcp-hcr	-	911182.0	914129.0	hcr,hcp
ytjC	+	4633797.0	4634444.0	ytjC
proBA	+	260216.0	262756.0	proB,proA
yhdH	+	3403280.0	3404458.0	yhdH
cybC	+	4459488.0	4459855.0	cybC
gapA-yeaD	+	1862618.0	1864734.0	yeaD,gapA
ppnN	+	2926308.0	2927672.0	ppnN
aspS	-	1948662.0	1950701.0	aspS
nadC	-	117752.0	118663.0	nadC
ybaL	-	501562.0	503295.0	ybaL
fepDGC	-	619384.0	622234.0	fepC,fepG,fepD
yhcG	+	3367827.0	3368954.0	yhcG
lolB-ispE-prs	-	1260895.0	1263556.0	prs,ispE,lolB
lolCDE	+	1175374.0	1178564.0	lolE,lolD,lolC
yhfXW-php-yhfUTS	-	3504935.0	3510976.0	yhfX,yhfW,php,yhfU,yhfT,yhfS
ftnB	+	1986775.0	1987428.0	ftnB
kup	+	3931103.0	3933184.0	kup
yahIJ	+	340165.0	342507.0	yahJ,yahI
cspE	+	657147.0	657501.0	cspE
yqeG	+	2985719.0	2987076.0	yqeG
tktB	+	2579308.0	2581639.0	tktB
ygfM-xdhD	+	3020540.0	3024186.0	xdhD,ygfM
tldD	-	3390583.0	3392184.0	tldD
phoU	-	3906853.0	3907665.0	phoU
ybaB-recR	+	493709.0	495010.0	recR,ybaB
hypABCDE-fhlA	+	2850627.0	2856416.0	fhlA,hypE,hypD,hypC,hypB,hypA
ybjP	-	903952.0	904523.0	ybjP
pcnB-folK	-	157253.0	159195.0	folK,pcnB
ldtC	-	1169412.0	1170417.0	ldtC
putA	-	1074920.0	1078925.0	putA
ydfZ	+	1629215.0	1629418.0	ydfZ
puuCBE	+	1362728.0	1366815.0	puuE,puuB,puuC
dcuSR	-	4349315.0	4351685.0	dcuR,dcuS
ytfL	-	4439872.0	4441321.0	paeA
selD-topB	-	1844932.0	1848029.0	topB,selD
fhuE	-	1159325.0	1161647.0	fhuE
ackA	+	2413459.0	2414672.0	ackA
galE	-	790312.0	792086.0	galE
agrA	+	3648063.0	3648144.0	agrA
argH	+	4156850.0	4158223.0	argH
sucABCD-sdhX	+	758586.0	765150.0	sdhX,sucA,sucB,sucC,sucD
tusE	-	1030339.0	1030668.0	tusE
imp-surA-pdxA	-	52427.0	57336.0	pdxA,surA,lptD
dcp	-	1625335.0	1627422.0	dcp
ldtD	+	980931.0	982894.0	ldtD
wzzB	-	2097321.0	2098301.0	wzzB
clpPX	+	456577.0	458755.0	clpX,clpP
rpnE-ypaA	+	2356904.0	2358001.0	ypaA,rpnE
sad-glsB-yneG	-	1611966.0	1614799.0	yneG,glsB,sad
pppA	-	3113543.0	3114479.0	pppA
glnAZ	-	4055990.0	4058222.0	glnZ,glnA
idnR	-	4490141.0	4491182.0	idnR
iscRSUA	-	2659563.0	2662199.0	iscA,iscU,iscS,iscR
dapB	+	28288.0	29272.0	dapB
hisLGDCBHAFI	+	2089965.0	2097225.0	hisL,hisG,hisD,hisC,hisB,hisH,hisA,hisF,hisI
ynfA	-	1655347.0	1655699.0	ynfA
ymgGD	-	1222305.0	1222988.0	ymgG,ymgD
yahO	+	346432.0	346759.0	yahO
rne	-	1141182.0	1144873.0	rne
fumA	-	1686705.0	1688440.0	fumA
yebB	+	1946110.0	1946853.0	yebB
pspG	+	4262816.0	4263249.0	pspH,pspG
csrAp3 // csrA	-	2818961.0	2819273.0	csrA
rrsA-ileT-alaT-rrlA-rrfA	+	4035239.0	4040636.0	rrfA,rrlA,alaT,ileT,rrsA
yfdC	+	2465301.0	2466233.0	yfdC
cfa	+	1741201.0	1742561.0	cfa
purU	-	1287782.0	1288754.0	purU
mgtA	+	4467280.0	4470321.0	mgtL,mgtA
accBC	+	3405140.0	3407302.0	accC,accB
opgB	-	4597150.0	4599494.0	opgB
ytfK	+	4439413.0	4439793.0	ytfK
sfmCD	+	558803.0	562300.0	sfmD,sfmC
bglA	+	3043662.0	3045101.0	bglA
icdC	+	1211413.0	1211577.0	icdC
glk	-	2508424.0	2509461.0	glk
glsB-yneG	-	1611966.0	1613251.0	glsB,yneG
envY-ompT	-	584680.0	586908.0	ompT,envY
yhdJ	+	3411617.0	3412537.0	yhdJ
yceF	-	1146011.0	1146761.0	yceF
uspE	-	1397672.0	1398659.0	uspE
pliG	-	1227071.0	1227472.0	pliG
ybbB	-	530132.0	531226.0	selU
yphA	+	2673346.0	2673768.0	yphA
yfgA	-	2641831.0	2642844.0	rodZ
grxD	-	1733754.0	1734162.0	grxD
yidE	-	3864612.0	3866390.0	yidE
yfgJ	-	2635599.0	2635814.0	yfgJ
yhhQ	+	3609119.0	3609882.0	yhhQ
yicN	-	3841950.0	3842509.0	yicN
sbcB	+	2082728.0	2084183.0	sbcB
rimL	+	1498743.0	1499477.0	rimL
ybjX	-	918128.0	919103.0	ybjX
dam-rpe-gph-trpS	-	3512634.0	3516252.0	trpS,gph,rpe,dam
epd-pgk-fbaA	-	3070165.0	3073823.0	fbaA,pgk,epd
rdlB	+	1269856.0	1269923.0	rdlB
tesA-ybbO	-	518340.0	519949.0	ybbO,tesA
yeaGH	+	1866765.0	1870238.0	yeaH,yeaG
yjhD	-	4506626.0	4506856.0	yjhD
mpl	+	4455728.0	4457158.0	mpl
ygiV	-	3168749.0	3169291.0	ygiV
yraIJK	+	3288090.0	3292432.0	yraK,yraJ,yraI
yhjB	-	3671292.0	3672045.0	yhjB
arsRBC	+	3648512.0	3650662.0	arsR,arsB,arsC
ydiP	-	1778390.0	1779328.0	ydiP
flxA	+	1646388.0	1646737.0	flxA
ygjI	+	3226070.0	3227667.0	ygjI
narWV	-	1535937.0	1538687.0	narV,narW
rnb	-	1346942.0	1349129.0	rnb
phoBR	+	417101.0	419245.0	phoB,phoR
pyrC	-	1121561.0	1122643.0	pyrC
adhP	-	1552828.0	1553994.0	adhP
ynfP	-	1652728.0	1652838.0	ynfP
ycjXF	+	1384069.0	1386572.0	ycjF,ycjX
alaS	-	2819381.0	2822090.0	alaS
lptFG	+	4486122.0	4488400.0	lptG,lptF
sugE	+	4376794.0	4377192.0	gdx
trkG	+	1423671.0	1425239.0	trkG
bcsBZ	-	3689155.0	3692673.0	bcsZ,bcsB
yghB	+	3153529.0	3154222.0	yghB
sbmC	-	2080789.0	2081325.0	sbmC
yjgR	-	4488561.0	4490085.0	yjgR
gntR	-	3577622.0	3578880.0	gntR
paaABCDEFGHIJK	+	1453865.0	1463438.0	paaK,paaJ,paaI,paaH,paaG,paaF,paaE,paaD,paaC,paaB,paaA
fliCX	-	2001912.0	2003676.0	fliX,fliC
yncI	+	1530586.0	1531639.0	yncI
yeeED	-	2084226.0	2085552.0	tsuA,tsuB
yciVOQ	+	1323188.0	1326641.0	yciQ,yciO,rnm
yobA-yebZY	-	1923365.0	1924986.0	yobA,yebZ,yebY
tktA	-	3079644.0	3081707.0	tktA
mhpR-lacI	-	366428.0	368536.0	lacI,mhpR
gltS	-	3827460.0	3828691.0	gltS
ybeZY	-	691874.0	693469.0	ybeZ,ybeY
tmaR	-	2079032.0	2079361.0	tmaR
yfaZ	-	2363733.0	2364372.0	yfaZ
yaaJ	-	6529.0	8017.0	yaaJ
ychE	+	1298452.0	1299245.0	ychE,ychT
yafV	-	239419.0	240216.0	yafV
yghQ	-	3131341.0	3132593.0	yghQ
yhiD	-	3655255.0	3656110.0	yhiD
ydgC	-	1681695.0	1682062.0	ydgC
bluR	-	1213328.0	1214113.0	bluR
rpsLG-fusA-tufA	-	3470145.0	3474621.0	tufA,fusA,rpsG,rpsL
yrbG-kdsD	+	3340211.0	3342252.0	kdsD,yrbG
cbpAM	-	1062550.0	1063833.0	cbpM,cbpA
ecnB	+	4376509.0	4376731.0	ecnB
lpp	+	1757296.0	1757657.0	lpp
mak	+	410118.0	411052.0	mak
serU	-	2043468.0	2043562.0	serU
fetAB	+	515903.0	517362.0	fetB,fetA
ilvL	+	3950218.0	3950471.0	ilvL
menFD-yfbB-menBCE	-	2373648.0	2380643.0	menE,menC,menB,menH,menD,menF
rplL	+	4180560.0	4180925.0	rplL
sraA	-	458728.0	458784.0	sraA
ssb	+	4274011.0	4274661.0	ssb
dcm-vsr	-	2030448.0	2032317.0	vsr,dcm
mltB	-	2824491.0	2825576.0	mltB
aceK	+	4218596.0	4220332.0	aceK,aceK-int
mdtK	+	1743269.0	1744830.0	mdtK
yagAB-insX	-	280114.0	281983.0	yagA,yagB,insX
yebA	-	1940313.0	1941833.0	mepM
pyrSR-ypdC	+	2498671.0	2501987.0	ypdC,pyrR,pyrS
aas-lplT	-	2972669.0	2976014.0	aas,lplT
yaaU	+	45592.0	47138.0	yaaU
aaeR	+	3389496.0	3390449.0	aaeR
ykgH	-	324696.0	325364.0	ykgH
hemB	-	388753.0	389754.0	hemB
ppiA	-	3491725.0	3492449.0	ppiA
tauABCD	+	385205.0	388646.0	tauD,tauC,tauB,tauA
idnK	+	4494597.0	4495186.0	idnK
bisC	-	3714061.0	3716513.0	bisC
cho	+	1823492.0	1824402.0	cho
gatR	-	2169693.0	2171727.0	gatR
acpP-fabF	+	1151575.0	1153180.0	fabF,acpP
pyrD	+	1004732.0	1005778.0	pyrD
xylR	+	3734906.0	3736157.0	xylR
ycaC	-	944931.0	945557.0	ycaC
purL	-	2691656.0	2695589.0	purL
rlmI	-	1028779.0	1030001.0	rlmI
yncD	-	1520963.0	1523276.0	pqqU
yfiE	-	2714439.0	2715344.0	yfiE
rseD-rpoE-rseABC	-	2707322.0	2710339.0	rseD,rseC,rseB,rseA,rpoE
bioP	+	4011076.0	4011975.0	bioP
yaaA	-	5683.0	6615.0	yaaA
ihfB	+	963749.0	964173.0	ihfB
ampG	-	452070.0	453686.0	ampG
yedN	-	2011223.0	2012351.0	yedN
ybaK	-	506603.0	507082.0	ybaK
recN	+	2751759.0	2753456.0	recN
yqgD	-	3086399.0	3086650.0	yqgD
yicC	+	3816645.0	3817603.0	yicC
rpiA	-	3058644.0	3059353.0	rpiA
xylFGHR	+	3731069.0	3736157.0	xylF,xylG,xylH,xylR
dsbB	-	1232500.0	1233147.0	dsbB
umpG-pcm	-	2868893.0	2870686.0	pcm,umpG
yadN	-	156299.0	157055.0	yadN
mdtQ	-	2227323.0	2228758.0	mdtQ
infA	-	926162.0	926685.0	infA
roxA	-	1187119.0	1188240.0	roxA
ygfB-pepP-ubiHI	-	3051048.0	3055473.0	ygfB,pepP,ubiH,ubiI
kduI	-	2983288.0	2984194.0	kduI
rcnR	-	2185524.0	2185903.0	rcnR
alsK	-	4306870.0	4307995.0	alsK
cytR	-	4123431.0	4124509.0	cytR
can	-	142008.0	142703.0	can
evgLAS	+	2483631.0	2487967.0	evgL,evgS,evgA
tilS	+	212331.0	213629.0	tilS
yafY-ykfBF-yafX-ykfGH-yafW-ykfI	-	263328.0	266553.0	yafY,ykfB,ykfF,yafX,ykfG,ykfH,yafW,ykfI
pdxA-rsmA-apaGH	-	50380.0	53416.0	apaH,apaG,rsmA,pdxA
bamD	+	2735961.0	2736883.0	bamD
ygeR	-	2999136.0	3000039.0	actS
mdaB	+	3172407.0	3173111.0	mdaB
ycgZ	+	1215752.0	1216025.0	ycgZ
argR	+	3384602.0	3385173.0	argR
dksA-yadB	-	159186.0	160722.0	gluQ,dksA
smg	-	3431991.0	3432464.0	smg
yciW	-	1348980.0	1350132.0	yciW
hofQ	-	3519465.0	3520703.0	hofQ
ypfH	-	2593072.0	2593770.0	ypfH
yecT	+	1961935.0	1962460.0	yecT
rbn	+	2381582.0	2382525.0	rbn
rfbACX	-	2108337.0	2111019.0	rfbX,rfbC,rfbA
barA	+	2915057.0	2917813.0	barA
yegS	+	2168543.0	2169611.0	yegS
yhjC	+	3672136.0	3673313.0	rcdB
shoB	-	2700117.0	2700291.0	shoB
alkA	-	2146692.0	2147559.0	alkA
pdeA	-	2515643.0	2517832.0	pdeA
efp	+	4375567.0	4376265.0	efp
queD	+	2892214.0	2892579.0	queD
bdcR	+	4474096.0	4474717.0	bdcR,b4250
sibE	-	3195097.0	3195240.0	sibE
ddpXABCDF	-	1557112.0	1563249.0	ddpF,ddpD,ddpC,ddpB,ddpA,ddpX
adrA	+	403687.0	404818.0	dgcC
astCADBE	-	1825955.0	1832044.0	astE,astB,astD,astA,astC
csdAE	+	2943207.0	2944985.0	csdE,csdA
guaC	+	113444.0	114487.0	guaC
ygiD	-	3181619.0	3182561.0	ygiD
ybjO-rlmC	+	897852.0	899645.0	rlmC,ybjO
yejK	-	2282940.0	2284109.0	yejK
ibpB	-	3866469.0	3866981.0	ibpB
mnmG-rsmG	-	3923057.0	3925674.0	mnmG,rsmG
ydcJ	+	1495133.0	1496631.0	ydcJ
glnLG	-	4053869.0	4056371.0	glnG,glnL
hsdRMS	-	4580068.0	4586761.0	hsdS,hsdM,hsdR
yhhX	-	3579768.0	3581016.0	yhhX
yfdGHI	+	2467737.0	2470462.0	yfdI,yfdH,yfdG
slp-dctR	+	3653936.0	3655213.0	dctR,slp
rfaYZ	-	3799345.0	3801136.0	waaZ,waaY
pflA	-	950301.0	951154.0	pflA
adiA	-	4338210.0	4340556.0	adiA
aceEF	+	122969.0	127619.0	aceF,aceE
hupB	+	461305.0	461778.0	hupB
dsrB	-	2024635.0	2024843.0	dsrB
glnHPQ	-	845741.0	848198.0	glnQ,glnP,glnH
pyrLBI	-	4470986.0	4472745.0	pyrL,pyrI,pyrB
tpke11	+	14080.0	14167.0	tpke11
qorA	-	4263248.0	4264304.0	qorA
uspB	-	3639385.0	3639848.0	uspB
yibA	+	3766337.0	3767179.0	yibA
ymdAB	+	1105201.0	1106353.0	ymdB,ymdA
znuA	-	1941651.0	1942661.0	znuA
yicR-rpmBG-mutM	-	3810343.0	3812577.0	mutM,rpmG,rpmB,yicR
dinI	-	1121242.0	1121509.0	dinI
yjtD	+	4640838.0	4641628.0	yjtD
yfbS	-	2409520.0	2411352.0	yfbS
ulaR	-	4417698.0	4418562.0	ulaR
yffMN	+	2561368.0	2561993.0	yffN,yffM
csgA	+	1104236.0	1104902.0	csgA
ybiV	-	859213.0	860088.0	ybiV
rplT	-	1799363.0	1799763.0	rplT
pepN	+	990591.0	993234.0	pepN
ruvAB	-	1944219.0	1946024.0	ruvB,ruvA
fimZ	-	563848.0	564607.0	fimZ
secMA-mutT	+	107705.0	111433.0	mutT,secA,secM
alpA	+	2758644.0	2758856.0	alpA
dicC-ydfXW	-	1647174.0	1647876.0	dicC,ydfX,ydfW
yjhIHG	-	4522127.0	4525888.0	yjhI,yjhH,yjhG
slyB	+	1719748.0	1720343.0	slyB
fdhD	+	4086016.0	4086849.0	fdhD
srkA-dsbA	+	4042391.0	4044044.0	dsbA,srkA
ddlA	-	399829.0	400923.0	ddlA
pyrH	+	191812.0	192580.0	pyrH
dgcF	-	1610907.0	1611854.0	dgcF
feaR	-	1446378.0	1447394.0	feaR
yaiX	-	380844.0	382872.0	yaiX
nanCM	-	4537659.0	4539928.0	nanM,nanC
cysK	+	2532344.0	2533424.0	cysK
allS	-	531295.0	532300.0	allS
yphFED	-	2675827.0	2679367.0	yphF,yphE,yphD
rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ	-	3448267.0	3453442.0	rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW,rplD,rplC,rpsJ
nadK	+	2750763.0	2751709.0	nadK
hisBHAFI	+	2093360.0	2097225.0	hisI,hisF,hisA,hisH,hisB
ynjH	-	1841863.0	1842188.0	ynjH
nanS	-	4536614.0	4537703.0	nanS
ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	90688.0	107474.0	ftsO,lpxC,ftsZ,ftsA,ftsQ,ddlB,murC,murG,ftsW,murD,mraY,murF,murE,ftsI,ftsL
ykfJ-prfH	+	253467.0	254202.0	prfH,ykfJ
mog	+	9306.0	9893.0	mog
aceBAK	+	4215402.0	4220332.0	aceB,aceA,aceK,aceK-int
asr	+	1671327.0	1671720.0	asr
frwD	+	4147138.0	4147479.0	frwD
asmA	-	2139759.0	2141612.0	asmA
yojI	-	2306972.0	2308641.0	yojI
xerD-dsbC-recJ	-	3036373.0	3039851.0	recJ,dsbC,xerD
lapAB	+	1340135.0	1341727.0	lapB,lapA
osmE	-	1821865.0	1822283.0	osmE
fabA	-	1015952.0	1016498.0	fabA
pdxB-usg-truA-dedA	-	2434082.0	2437884.0	dedA,truA,usg,pdxB
yihD	+	4042049.0	4042338.0	yihD
kbp	-	2796337.0	2796814.0	kbp
intZ	+	2558693.0	2560066.0	intZ
ssnA	+	3018950.0	3020522.0	ssnA
mnmA	-	1192667.0	1193773.0	mnmA
dppBCDF	-	3701864.0	3705790.0	dppF,dppD,dppC,dppB
dps	-	848408.0	848950.0	dps
yihUTS	-	4070515.0	4073663.0	yihS,yihT,yihU
btuCED	-	1792809.0	1795152.0	btuD,btuE,btuC
speE	-	135598.0	136504.0	speE
casABCDE12	-	2878569.0	2884319.0	casA,casB,casC,casD,casE,cas1,cas2
csrD	-	3401392.0	3403425.0	csrD
yhfG-fic-pabA	-	3490266.0	3491648.0	pabA,fic,yhfG
mqsRA	-	3167851.0	3168653.0	mqsR,mqsA
rhsA-yibA	+	3762183.0	3767179.0	yibA,rhsA
ygjH	-	3220915.0	3221264.0	ygjH
ttdR	-	3205324.0	3206380.0	ttdR
yjeI	+	4372761.0	4373162.0	yjeI
yciCB	-	1312261.0	1313698.0	yciC,yciB
gloA	+	1727801.0	1728244.0	gloA
yicG	+	3818874.0	3819491.0	yicG
ydcK	-	1499469.0	1500640.0	ydcK
rrlE-rrfE	+	4210043.0	4213209.0	rrfE,rrlE
yjjZ	+	4605777.0	4606040.0	yjjZ
rhsB	+	3619003.0	3623427.0	rhsB
araJ	-	411297.0	412529.0	araJ
otsBA	-	1980096.0	1982465.0	otsA,otsB
malY	+	1700840.0	1702129.0	malY
ycaK	+	949547.0	950258.0	ycaK
metG	+	2193758.0	2196366.0	metG
gpmA	-	786843.0	787670.0	gpmA
spy	-	1825057.0	1825688.0	spy
yaiO	-	380069.0	380973.0	yaiO
rpmH-rnpA	+	3884065.0	3884852.0	rnpA,rpmH
holC-valS	-	4480982.0	4484273.0	valS,holC
xthA	+	1832399.0	1833234.0	xthA
rarD	-	4003288.0	4004297.0	rarD
recAX	-	2822139.0	2823819.0	recX,recA
rpmE	+	4126854.0	4127262.0	rpmE
rsxABCDGE-nth	+	1705755.0	1712158.0	nth,rsxE,rsxG,rsxD,rsxC,rsxB,rsxA
bfd-bfr	-	3466249.0	3466991.0	bfd,bfr
fadBA	-	4027609.0	4031013.0	fadA,fadB
msrPQ	+	2039478.0	2041118.0	msrQ,msrP
rnlB	+	2766707.0	2767355.0	rnlB
mcbR	+	1520096.0	1520927.0	mcbR
kdpDE	-	721056.0	724414.0	kdpE,kdpD
proK	-	3708409.0	3708694.0	proK
insC4D4CD4-ygeON	-	2995314.0	2997600.0	insC4,insD4,insCD4,ygeO,ygeN
aidB	+	4414247.0	4415900.0	aidB
efeU	+	1081307.0	1082185.0	efeU
ydhB	-	1738866.0	1739809.0	punR
djlA	+	57268.0	58179.0	djlA
psiE	+	4240300.0	4240735.0	psiE
ybhI	+	801887.0	803320.0	ybhI
yjiR	-	4570162.0	4571574.0	yjiR
mngB	+	767795.0	770611.0	mngB
ytfF	-	4432091.0	4433148.0	ytfF
acrB	-	481254.0	484685.0	acrB
ycgZ-ymgA-ariR-ymgC	+	1215752.0	1216996.0	ymgC,ariR,ymgA,ycgZ
iprA	+	394506.0	395129.0	iprA
wecH	+	3725887.0	3726882.0	wecH
CsiR	+	2795674.0	2796336.0	glaR
ppnP	+	408148.0	408461.0	ppnP
rrsB-gltT-rrlB-rrfB	+	4166367.0	4171962.0	rrfB,rrlB,gltT,rrsB
gltX	-	2519208.0	2520784.0	gltX
glpGR	-	3559754.0	3561480.0	glpR,glpG
hokE	+	607731.0	607988.0	hokE,b4700
ygeH	+	2991879.0	2993470.0	ygeH
gcl-hyi-glxR-ybbVW-allB-ybbY-glxK	+	533907.0	543033.0	glxK,ybbY,allB,allW,glxR,hyi,gcl
mscS	-	3068947.0	3069871.0	mscS
phoQ	-	1188316.0	1189940.0	phoQ
ssrS	+	3055759.0	3056283.0	ssrS
mdlAB	+	468871.0	472417.0	mdlB,mdlA
ilvA	+	3955235.0	3957123.0	ilvA
fadIJ	-	2457015.0	2460511.0	fadJ,fadI
tsx	-	431096.0	432245.0	tsx
ychJ-purU	-	1287782.0	1289177.0	purU,ychJ
hflD-purB	-	1190616.0	1192686.0	purB,hflD
dsbC-recJ-prfB	-	3035184.0	3039633.0	prfB,recJ,dsbC
srlAEBD-gutM-srlR-gutQ	+	2825791.0	2830778.0	srlA,srlE,srlB,srlD,gutM,srlR,gutQ
fliE	-	2012700.0	2013093.0	fliE
hypF	-	2835173.0	2838105.0	hypF
pheLA	+	2737579.0	2738940.0	pheA,pheL
chiZPQ	+	708236.0	710116.0	chiZ,chiQ,chiP
lysT-valT-lysW	+	780514.0	780918.0	lysT,valT,lysW
rsmC	-	4606669.0	4607868.0	rsmC
rihC	+	27293.0	28207.0	rihC
yagGH	+	285207.0	288399.0	yagH,yagG
dusB-fis	+	3410246.0	3411626.0	dusB,fis
serC	+	957579.0	958741.0	serC
amiC	-	2947757.0	2949189.0	amiC
marC	-	1618243.0	1618941.0	marC
yhhZ-yrhA-insA6AB6B6	+	3581758.0	3584309.0	insB6,insA6,insAB6,yrhA,yhhZ
yhfA	-	3485414.0	3485951.0	yhfA
gmk	+	3821388.0	3822051.0	gmk
macB	+	920094.0	922293.0	macB
ygbF	-	2878569.0	2878915.0	cas2
ydiE	+	1789603.0	1789804.0	ydiE
ldrC	-	1270238.0	1270546.0	ldrC
mrp	-	2192993.0	2194203.0	mrp
cysDNC	-	2873234.0	2876368.0	cysC,cysN,cysD
aldB	-	3754906.0	3756535.0	aldB
yeiE	-	2248737.0	2249711.0	yeiE
dadAX	+	1237509.0	1239949.0	dadA,dadX
sdaCB	+	2928035.0	2930943.0	sdaC,sdaB
speAB	-	3082877.0	3086048.0	speB,speA
sodB	+	1735323.0	1736114.0	sodB
bssS	-	1120701.0	1121058.0	bssS
yhjA	-	3667791.0	3669261.0	ccp
zraP	-	4201263.0	4201712.0	zraP
serB	+	4624856.0	4625863.0	serB
lipA	-	659251.0	660301.0	lipA
rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM	+	3967800.0	3980696.0	rffM,wzyE,wecF,wzxE,wecE,rffC,rffH,rffG,wecC,wecB,wzzE,rfe
ybaN	+	490718.0	491259.0	ybaN
tig	+	454993.0	456431.0	tig
trpS	-	3512634.0	3513697.0	trpS
gadAX	-	3664915.0	3667607.0	gadX,gadA
mltD	-	232597.0	234025.0	mltD
dnaAN-recF	-	3880148.0	3883961.0	recF,dnaN,dnaA
cvrA	-	1240335.0	1242164.0	cvrA
ytfA	+	4427694.0	4428095.0	ytfA
prfB-lysS	-	3033657.0	3036282.0	lysS,prfB
tonB	+	1311054.0	1311846.0	tonB
rsuA	-	2279788.0	2280548.0	rsuA
pitB	-	3134872.0	3136403.0	pitB
fepB	-	623554.0	624727.0	fepB
ygeQ	-	2998034.0	2998828.0	ygeQ
yjjJ	+	4621657.0	4623100.0	hipH
cysJIH	-	2887578.0	2891964.0	cysH,cysI,cysJ
casDE-ygbTF	-	2878569.0	2881048.0	cas2,cas1,casE,casD
intD	-	564815.0	566101.0	intD,xisD
alaE	+	2799084.0	2799613.0	alaE
yeeY	-	2087329.0	2088258.0	yeeY
ybjN	+	892957.0	893433.0	ybjN
ydiNB-aroD	+	1772409.0	1775444.0	aroD,ydiB,ydiN
def-fmt	+	3433650.0	3435161.0	def,fmt
mazEF	-	2910756.0	2911450.0	mazF,mazE
yncL	-	1517099.0	1517246.0	yncL
mreBCD	-	3398387.0	3401356.0	mreD,mreC,mreB
mnt-btuF-yadS	-	177001.0	179183.0	mtn,btuF,yadS
ydiFO	+	1775587.0	1778347.0	ydiO,ydiF
ysdE	-	3853766.0	3853840.0	ysdE
paaXY	+	1463509.0	1465061.0	paaY,paaX
flgBCDEFGHIJ	+	1130993.0	1138312.0	flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ
yeiH	+	2249666.0	2250766.0	yeiH
hsdMS	-	4580068.0	4583048.0	hsdS,hsdM
sohB	+	1329284.0	1330381.0	sohB
