Geneid	Chr	Start	End	Strand	Length	Starch_S232	Starch_S235	Fat_S238	Starch_S233	Fat_S237	Starch_S231	Fat_S239	Fat_S236	Fat_S240
hemCDXY	U00096.3	3986686	3990766	-	4081	95	86.50	107.50	91.50	78	82.50	94.50	99.50	99.50
hemF	U00096.3	2552952	2554124	+	1173	8	6.50	4.50	10.50	5.50	9.33	6.33	3.50	5.50
hemH	U00096.3	498031	499017	+	987	2	7	3.50	7.50	2	4.50	4.50	2.50	2
hemL	U00096.3	173602	174941	-	1340	70	45	65	47	38	46	63	58	53
hemN	U00096.3	4051943	4053418	+	1476	24	17	29	22	13	17	17	26	12
hepA	U00096.3	60358	63588	-	3231	8.67	11.33	6.50	13.67	4.67	8.00	9.00	8.00	6.33
hflD-purB	U00096.3	1190616	1192686	-	2071	62	62.50	78	55	52	72.50	51	65.50	81
hfq-hflXKC	U00096.3	4399801	4404304	+	4504	43.60	46.80	48.60	48.20	35.20	43.80	36.40	47.00	45.00
hicAB	U00096.3	1509221	1509924	+	704	10.50	5	7	11.50	6	9	4.50	7.50	9
higBA	U00096.3	3233728	3234480	-	753	3	4	4	1	2	3	1	1	3
hinT-ycfL-lpoB-thiK-nagZ-ycfP	U00096.3	1161821	1165685	+	3865	282	303	318	309	253	272	272	279	274
hipBA	U00096.3	1590854	1592482	-	1629	52	51	64	52	36	45	48	31	31
hisBHAFI	U00096.3	2093360	2097225	+	3866	15	11	20	14	12	14	19.50	21	25
hisJQMP	U00096.3	2423736	2426837	-	3102	16.50	15.50	18.50	8	12	14	8.50	12	12.50
hisL	U00096.3	2089965	2090140	+	176	5	7.50	6	6.50	3.50	4	6.50	5.50	6.50
hisLGDCBHAFI	U00096.3	2089965	2097225	+	7261	31	27.50	41	35.50	24.50	26	31	32.50	37.50
hisS	U00096.3	2639301	2640642	-	1342	56.00	56.67	50.00	48.50	39.67	34.67	45.67	47.50	51.67
hiuH-msrPQ	U00096.3	2038840	2041118	+	2279	10	14.50	13	9.50	5	7	5	5	7.50
hldE	U00096.3	3195320	3196753	-	1434	23	18	26	18	18	25	20	24	23
hlpA-lpxD-fabZ-lpxA	U00096.3	200455	203348	+	2894	173.33	179.33	187.50	185.16	130.50	170.66	147.17	160.00	178.66
hlyE	U00096.3	1229483	1230466	-	984	5	9	8	4	2	6	3	3	1
hmp	U00096.3	2685797	2687025	+	1229	8	4	11	1	8	12	5	7	3
hns	U00096.3	1292461	1292958	-	498	391	432	462	413	346	403	392	428	427
hofMNOP	U00096.3	3520615	3522928	-	2314	2	3.50	3	1	3	2.50	1	2.50	5.50
hofQ	U00096.3	3519465	3520703	-	1239	4	2	1	1	0	4	1	2	0
hokA	U00096.3	3720448	3720810	-	363	0	0.50	0.50	1.50	0	0	1	0	1
hokB	U00096.3	1491922	1492071	-	150	0	1	0.50	0	0	0	0	0	0.50
hokD	U00096.3	1645119	1645274	-	156	1	1	3	0.50	2	0	0	1.50	0.50
hokE	U00096.3	607731	607988	+	258	3	0	2	0	0	0	3	1	1
holC	U00096.3	4483837	4484273	-	437	14.17	12.00	13.83	12.50	12.67	13.83	12.50	10.33	17.00
holC-valS	U00096.3	4480982	4484273	-	3292	116.17	98.50	114.83	100.00	88.17	100.83	108.50	86.83	120.50
holD-rimI-yjjG	U00096.3	4607781	4609323	+	1543	17	12	21	16.50	11	10.50	13	10	13
holE	U00096.3	1925020	1925338	+	319	3	4	5	0	4.50	5.50	3	2.50	6
hprRS	U00096.3	2036794	2038823	-	2030	3	1	2	4	2	2	4	2	0
hpt	U00096.3	141360	141967	+	608	45	31	47	51	38	32	38	54	46
hrpA	U00096.3	1483061	1486963	+	3903	105	93	94	101	88	102	87	98	110
hrpB	U00096.3	162075	164534	+	2460	16	10	15	11	6	10	6	7	11
hscBA-fdx-iscX	U00096.3	2656506	2659524	-	3019	80	66	75	98	68	67	64	71	91
hscC	U00096.3	681723	683594	-	1872	6	6	10	7.50	1.50	5.50	6.50	5	5.50
hsdMS	U00096.3	4580068	4583048	-	2981	6.50	7	14	14.50	7	11	9	8.50	10
hsdRMS	U00096.3	4580068	4586761	-	6694	112.50	107	133	96.50	74	86	95	98.50	136
hslJ	U00096.3	1441321	1441780	-	460	23.50	25	31.50	25	22.50	27.50	21	21.50	18
hslO	U00096.3	3529672	3530652	+	981	38.00	36.83	31.17	44.17	35.67	31.50	32.17	41.50	35.67
hslR-hslO	U00096.3	3529110	3530652	+	1543	57.50	50.33	50.67	57.67	46.17	46.00	43.67	56.00	58.17
hslVU	U00096.3	4120368	4122354	-	1987	76	89	114	99	84	76	103	102	106.50
hspQ	U00096.3	1028404	1028751	-	348	51.50	56.50	41.50	42	34.50	57	35.50	33	28.50
htgA	U00096.3	10643	11315	+	673	2.50	2.50	4	2.50	1	2.50	1.50	3	2.50
htpG	U00096.3	494817	496994	+	2178	54.50	47	36.50	38.50	48	47.50	47.50	46	52
htpX	U00096.3	1911652	1912618	-	967	134	117	145	113	98	103	115	116	130
htrG-cca	U00096.3	3201042	3203129	+	2088	47	51.50	57.50	44.50	61.50	48.50	65	71	66.50
htrL	U00096.3	3792826	3793683	-	858	4	7	10	9	6	10	6	8	7
hupA	U00096.3	4200176	4200601	+	426	275.50	343.50	351.50	320.50	236.50	311	260	319.50	325
hupB	U00096.3	461305	461778	+	474	371	372	403	367	317	367	344	374	391
hxpB	U00096.3	1809326	1810048	+	723	20	22	21	19	6	27	20	17	20
hyaABCDEF	U00096.3	1031984	1037634	+	5651	102	107	63	80	62	94	84	79	101
hybOABCDEFG	U00096.3	3139716	3146363	-	6648	402	381	460	403	302	394	362	416	417
hycABCDEFGHI	U00096.3	2842477	2850461	-	7985	51	51	55	48	44	49	51	52	60
hydN-hypF	U00096.3	2835173	2838132	-	2960	14.50	15.50	17.50	14.50	11	15	12.50	14.50	18
hyfABCDEFGHIJR-focB	U00096.3	2601171	2614782	+	13612	36	39	45	39	29	29	23	22	21
hypABCDE	U00096.3	2850627	2854321	+	3695	32.75	32	36	34.50	27.75	32.25	31.25	30.50	32.50
hypABCDE-fhlA	U00096.3	2850627	2856416	+	5790	41.25	42	48	46.50	38.25	41.75	39.75	38.50	45.50
hypBCDE	U00096.3	2850839	2854321	+	3483	32.75	32	36	34.50	27.75	31.75	30.75	30.50	32.50
hypBCDE-fhlA	U00096.3	2850839	2856416	+	5578	41.25	42	48	46.50	38.25	41.25	39.25	38.50	45.50
hypF	U00096.3	2835173	2838105	-	2933	14.50	15.50	17.50	14.50	11	15	12.50	14.50	18
hypT	U00096.3	4557378	4558317	-	940	41	34	38	32	25	34	44	42	29.50
hyuA	U00096.3	3009830	3011413	+	1584	152	161.50	160.50	160	134	140	124.50	150.50	175
iaaA-gsiABCD	U00096.3	866537	872801	+	6265	46	42	44	37	28	37	39	34	27
iap	U00096.3	2876544	2877618	+	1075	6	9	5	8	4	8	4	4	2
ibaG	U00096.3	3336549	3336886	-	338	2	1.50	2	2	2	3	2.50	6	3
ibaG-murA	U00096.3	3335235	3336833	-	1599	31	33.50	38.50	33.50	20.50	33	35	44	41.50
ibpAB	U00096.3	3866469	3867518	-	1050	176	146	142.50	114	83	136.50	89.50	85	74
ibpB	U00096.3	3866469	3866981	-	513	43	37	29.50	34	16	30.50	25.50	17	14
ibsC	U00096.3	3056890	3057009	-	120	51	69.50	60	59	46	58	48.50	56	54.50
ibsD	U00096.3	3194701	3194825	+	125	26.50	26	28	26	13.50	22	17.50	14	15.50
icd	U00096.3	1194961	1196373	+	1413	33	28	39	44	31	34	32	32	30
icdC	U00096.3	1211413	1211577	+	165	0	0	4	0	1	0	1	1	6
iclR	U00096.3	4222804	4223652	-	849	14	4.50	7.50	5.50	5.50	5.50	10	5	8
idi	U00096.3	3032938	3033613	+	676	28	44	51	57	35	28	23	38.50	33
idnDOTR	U00096.3	4490141	4494435	-	4295	15	25.50	15	8	6	10	7	8	5.50
idnK	U00096.3	4494597	4495186	+	590	2.50	1.50	5	3	5	2	2	1	1
idnR	U00096.3	4490141	4491182	-	1042	1	5.50	3	2	2	3	2	2	0.50
igaA	U00096.3	3526469	3528604	+	2136	11	14	7	14	5	12	10	5	7
ihfA	U00096.3	1795216	1795721	-	506	101.00	111.00	105.67	107.33	83.33	104.00	92.00	101.00	89.33
ihfB	U00096.3	963749	964173	+	425	42.33	41.67	48.33	44	36.33	40.83	37.83	44.83	48.83
ileS-lspA-fkpB-ispH	U00096.3	21833	27279	+	5447	130.42	112.92	133.00	121.50	102.08	113.58	126.17	147.17	129.50
ileX	U00096.3	3215597	3215716	+	120	1	0	1	0.50	0	0	0	0	0
ileY	U00096.3	2785762	2785837	-	76	0	0.50	0	0	0	0	0	0	0
ilvA	U00096.3	3955235	3957123	+	1889	4.17	1.75	2.00	2.33	2.17	2.42	1.25	2.33	0.67
ilvC	U00096.3	3957912	3959445	+	1534	16	16	27	14	24	18	20	16	16
ilvEDA	U00096.3	3952388	3957123	+	4736	8.67	9.25	11.00	7.33	10.67	7.92	6.25	8.83	6.67
ilvIH	U00096.3	85420	87848	+	2429	5	5.50	8	11.50	7	5	4.50	6	2
ilvL	U00096.3	3950218	3950471	+	254	12.50	9.50	18	13.50	17.50	9.50	15	14.33	17
ilvLXG_1G_2MEDA	U00096.3	3950218	3957123	+	6906	30.17	26.75	41.00	37.83	36.17	26.42	28.25	38.17	37.67
ilvY	U00096.3	3956883	3957867	-	985	1.50	0.75	2	3	1.50	3.75	2.25	3	0
imp	U00096.3	54755	57241	-	2487	106.67	105.33	122.50	105.33	84.33	95.50	106.17	105.67	124.67
imp-surA-pdxA	U00096.3	52427	57336	-	4910	154.72	171.23	180.45	168.83	127.48	151.20	154.57	161.02	183.42
inaA	U00096.3	2348822	2349499	-	678	78	101	105	107	45	88	61	55	79
infA	U00096.3	926162	926685	-	524	27	37.50	34	34	19.50	25	22.50	28	29.50
infA-serW	U00096.3	925884	926685	-	802	62	68.50	76	60.50	51	49	51	52	63.50
infB	U00096.3	3313185	3316027	-	2843	52.80	53.00	62.60	49.00	46.40	47.40	47.40	56.00	53.20
infC	U00096.3	1800035	1801346	-	1312	109.27	119.78	121.68	119.75	99.55	106.47	107.77	115.03	113.73
infC-rpmI-rplT	U00096.3	1799363	1800818	-	1456	275.26	288.51	314.48	290.55	245.68	281.80	258.63	278.36	276.86
insA-7	U00096.3	4518442	4518802	+	361	2	0	0	1.50	0.50	2	2.50	2	1
insA1B1AB1	U00096.3	19811	20508	-	698	0	3	6	1	5	2	2	6	1
insA2B2AB2-afuBC	U00096.3	277756	279875	-	2120	3	3	2	5	0	0	7	5	3
insA3B3AB3	U00096.3	290649	291346	-	698	3	1	2.50	0.50	1	0	4	0.50	2
insA4AB4B4	U00096.3	1049833	1050530	+	698	3	5	3	5	3.50	2.50	4	3.50	4.50
insA5B5AB5	U00096.3	1978518	1979226	-	709	2.50	0.50	1.50	2	2.50	1	3.50	2.50	2
insB7	U00096.3	4518721	4519224	+	504	5	3	4	10.50	2	3	3	4	3
insC1CD1D1	U00096.3	381351	382579	+	1229	4	4.50	5.50	2.50	3	3	2.50	2.50	6
insC2D2CD2	U00096.3	1467921	1469149	-	1229	1.50	3.50	3.50	3.50	4	4	2	4.50	3
insC3D3CD3	U00096.3	2068952	2070180	-	1229	4.50	4.50	4.50	4.50	5.50	2	5	1.50	2
insC4D4CD4-ygeON	U00096.3	2995314	2997600	-	2287	9	13	16	9	9	17	6	7	7
insC5CD5D5-yqiHIG	U00096.3	3186040	3191696	+	5657	22.50	28	26	12	13	18	12	11	16
insC6CD6D6	U00096.3	4498272	4499500	+	1229	8	14	9	11	1	9	14	8	14
insE2F2EF2	U00096.3	391739	392901	-	1163	9.50	9	9	8	8.50	9.50	8.50	7	5
insE3EF3F3	U00096.3	566842	568004	+	1163	6	9	10	9	3	10	9	8	6
insE4F4EF4	U00096.3	1094275	1095437	-	1163	16	14	27	24	8	16	16	19	19
insE5EF5F5	U00096.3	2170236	2171398	+	1163	2.50	4	2.50	3	2	3	2.50	3	3
insG	U00096.3	4502103	4503549	-	1447	15	17	25	19	10	13	10	10	8
insH-1	U00096.3	274101	275298	-	1198	14	12.50	22	14	12	13	14	12	16
insH-10	U00096.3	3365702	3366682	-	981	5.50	4	9	6	9.50	7	6	6.50	7.33
insH-11	U00096.3	3652182	3653269	-	1088	12.50	8	11	4.50	5.50	5	8	5	7.50
insH-2	U00096.3	574737	575774	-	1038	12	6.50	8.50	8.50	7.50	10	5	7	9
insH-5	U00096.3	1427746	1428926	-	1181	2.33	1.50	1.50	1	2	1.50	0.50	1.50	1
insH-7	U00096.3	2101895	2103049	-	1155	23	19	26	14	12	17	19	12	16
insH-8	U00096.3	2289065	2290045	-	981	8.83	8	11	11.50	11.33	10.50	11.50	9	13.17
insH-9	U00096.3	3130025	3131194	+	1170	36.50	26	38.50	37.50	23	44	30	39	39
insH3	U00096.3	687997	689222	-	1226	17	29	23	23	19	23	18	12	25
insH4	U00096.3	1395971	1397092	+	1122	41	20	41	27	41	43	30	45	27
insH6	U00096.3	2066305	2067511	-	1207	13.50	12	15	15	10	8	10	21	20
insI2	U00096.3	1469358	1470509	+	1152	3	5	2.50	5	2.50	4	2	5	3
insJ	U00096.3	3720594	3721201	+	608	2.50	2	1.50	1	3.50	0.50	0	0	1.50
insK	U00096.3	3721065	3722049	+	985	14.50	16.50	12.50	5	10	8	10	12.50	12.50
insL1	U00096.3	15380	16557	+	1178	27	20	21	21.50	13.50	17	9.50	11	17
insL2	U00096.3	608056	609177	+	1122	22	20	17	10	14	17	17	16	17
insL3	U00096.3	2514322	2515443	+	1122	16	17	17	16	15	20	15	13	21
insMI3	U00096.3	4507466	4508942	-	1477	5.50	5.50	5	7.50	4.50	4	6	8	2.50
insN-1p_insO1_insI1_insN	U00096.3	270226	272190	+	1965	16	17	16	19	14	16	14	13	18
insN-2	U00096.3	4507167	4509793	+	2627	11.50	11	10.50	8.50	6	7	8.50	9.50	4
insQ	U00096.3	1503657	1504865	+	1209	15	15	26	25.50	22	14	16	25	26
insZ	U00096.3	1294426	1295322	-	897	1	0	1	3	2	0	0	1	0
intA	U00096.3	2756159	2757400	+	1242	15	12	12	7	9	15	10	15	10
intB	U00096.3	4496750	4497940	+	1191	104	114	138	119	75	106	92	104	113
intD	U00096.3	564815	566101	-	1287	12.50	12.50	26	15.50	9.50	17.50	6	11	6
intF	U00096.3	295696	297096	-	1401	7	5	9	5.50	4	6	9	3	5
intG	U00096.3	2012502	2012780	+	279	1	0	0	0	0	0	0	0	0
intS	U00096.3	2466515	2467702	+	1188	4	2	6	5	2	3	0	6	5
intZ	U00096.3	2558693	2560066	+	1374	7	8.50	5	7	5	6.50	5.50	5	3
iprA	U00096.3	394506	395129	+	624	3	4	5	5	7	3	0	2	1
iraD	U00096.3	4556576	4557385	+	810	19	19	27	28	20	19	19	23	25.50
iraM	U00096.3	1211680	1212123	-	444	0	0	2	0	0	0	0	0	0
iraP	U00096.3	401319	401646	+	328	21	23	35	23	28	27	32	23	24
iscRSUA	U00096.3	2659563	2662199	-	2637	170	147	180	151	107	134	139	148	185
ispB	U00096.3	3333710	3334681	+	972	28	18	21	17	22	9	17	23	19
ispDF	U00096.3	2871301	2872490	-	1190	24.50	17.50	21.50	21	18	21.50	20.50	20	30
ispG-sroE	U00096.3	2640595	2641954	-	1360	109	103.50	113	119	91	84.50	99	99	117.50
isrC	U00096.3	2071317	2071511	+	195	0.50	2	4.50	1	0.50	2.50	0.50	2	2
isrC-flu	U00096.3	2071317	2074658	+	3342	2	3	7.50	2	1.50	4.50	1	2.50	2.50
istR-1	U00096.3	3853118	3853192	-	75	2.50	0	1.50	1	1	2	1	0	0
istR-2	U00096.3	3853118	3853257	-	140	12.50	5	6.50	9	6	6	6	2	4
ivbL	U00096.3	3852835	3853023	-	189	0.33	0.33	0.33	0	0	0.33	0	0	0
ivbL-ilvBN	U00096.3	3850746	3853023	-	2278	15.17	10.83	12.33	11.33	10.50	8.67	10	10.83	9.17
ivbL-ilvBN-uhpABC	U00096.3	3847305	3853023	-	5719	18.67	11.67	13.17	12.83	12.33	11.33	12.83	12.33	10.17
ivy	U00096.3	240329	240816	+	488	20	34	31	26	17	21	28	23	33
katE	U00096.3	1813814	1816282	+	2469	13	14	14	12	7	12	15	16	10
katG	U00096.3	4133812	4136015	+	2204	43	44	49	51	37	41	27	35	33
kbaZ-agaVWA	U00096.3	3278866	3281625	+	2760	5	9	6	2	4	5	1	4	4
kbl-tdh	U00096.3	3790320	3792577	-	2258	43	49	44	49	29	31	50	47	49
kbp	U00096.3	2796337	2796814	-	478	86.67	113.50	82.17	107.17	59.50	104.67	71.50	84.67	94.67
kch	U00096.3	1309016	1310523	-	1508	21	30	31	20	19	19	20	32	30
kdgK	U00096.3	3679419	3680348	+	930	31	30	21	36	18	29	12	32	21
kdgR	U00096.3	1909308	1910253	-	946	38	26	44.50	30	20	28.50	30.50	29	37
kdgT	U00096.3	4101690	4102673	+	984	38	46	8	52	11	49	3	4	9
kdpDE	U00096.3	721056	724414	-	3359	50	51	48.50	46.50	41	36	45.50	35	41.50
kdpFABC	U00096.3	724407	728849	-	4443	19	31	16.50	17.50	16	14	18.50	20	25.50
kdsA	U00096.3	1267854	1269067	+	1214	35.50	36.50	36.50	33	25.50	32.50	29.50	33	39.50
kdsC-lptCAB	U00096.3	3341719	3344669	+	2951	33.70	33.33	30.08	32.00	22.92	29.25	25.25	18.75	31.03
kdtA-coaD	U00096.3	3808516	3810304	+	1789	11.50	10.50	9.50	12	8	11.50	14	10	8.50
kduD	U00096.3	2982497	2983258	-	762	5	3.50	3	10.50	4	12	1	5	0
kduI	U00096.3	2983288	2984194	-	907	19	12.50	2	11.50	0	18	0	1	2
kefFC	U00096.3	47080	49631	+	2552	5.50	8.50	11	9	5	7.50	7	6	9
kefGB-yheV	U00096.3	3478592	3481161	-	2570	10	13	13	3.50	7	7	5.50	2	14
kgtP	U00096.3	2724448	2725809	-	1362	22.50	27	26.50	32.50	12	16.50	23.50	34	23
kilR-ydaE	U00096.3	1417838	1418229	-	392	2	0	0	1	0	1	1	0	1
kptA	U00096.3	4560930	4561484	+	555	4	0	1	0	4	2.50	0.50	0	0
kup	U00096.3	3931103	3933184	+	2082	26	18.50	20.50	19.50	15.50	21.50	22.50	21	19
lacI	U00096.3	366428	367538	-	1111	1	2.50	1.50	2.50	1	0.50	1.50	1.50	2
lacYA	U00096.3	361140	363209	-	2070	98.83	68.33	95.67	72.17	58.00	55.67	70.17	89.67	91.67
lacZYA	U00096.3	361140	366377	-	5238	353.83	241.33	329.67	282.17	198.00	206.67	253.17	335.67	336.67
lafU	U00096.3	250072	250827	+	756	1.50	2.50	2	1	3	5	3	1	5
lapAB	U00096.3	1340135	1341727	+	1593	12	15.50	16	13.50	9.50	16.50	11.50	11	13
ldcA	U00096.3	1242166	1243197	-	1032	27.50	23.50	24.50	20.50	15	30	27.50	25	19
ldcC	U00096.3	209649	211820	+	2172	10	3	12	11	4	5	7	6	9
ldhA	U00096.3	1441854	1442915	-	1062	43.50	48	51	33	38	37.50	39.50	32	40
ldrA	U00096.3	1269168	1269477	-	310	5	1.50	4	6	4.50	6.50	3	4	5
ldrB	U00096.3	1269703	1270012	-	310	1	1	0	2	1	3	2	2	2.50
ldrC	U00096.3	1270238	1270546	-	309	4	1.50	1	3	2	2	0	1	3
ldrD	U00096.3	3699899	3700272	-	374	0	0	0	0.50	0.50	0	0	0	0.50
ldtA	U00096.3	2062391	2063323	-	933	20	33	16	30	15	23	21	31	21
ldtB	U00096.3	854824	855786	-	963	43	37	41	41	34	25	38	28	32
ldtC	U00096.3	1169412	1170417	-	1006	3	1	2	4	0	1	0	3	2
ldtD	U00096.3	980931	982894	+	1964	88	81	76	76	50	77	70	48	70
ldtE	U00096.3	1757721	1758725	-	1005	37	34	32	28	21	32	34	21	13
ldtF	U00096.3	245065	245805	-	741	42.50	45	47	36.50	32.50	26	36.50	40.50	35.50
lepAB	U00096.3	2704335	2707196	-	2862	94	83	115	80	89	95	83	108	102
letAB	U00096.3	1916258	1920143	+	3886	16	9	16	10	11	7	11	11	7
leuE	U00096.3	1880121	1880800	-	680	3	4	3	8	2	3	1	3	3
leuL	U00096.3	83574	83735	-	162	0	0	0	2	0	0.50	0.50	0	0
leuLABCD	U00096.3	78848	84024	-	5177	26	24	32	32	19	27.50	24.50	16	29
leuO	U00096.3	84154	85312	+	1159	2	3	4	3	0	3	0	0	0
leuQPV	U00096.3	4606079	4606432	-	354	0	0	0.83	0	0	0	0	0.50	0.50
leuS-lptE-holA-nadD-cobC	U00096.3	669296	674783	-	5488	208	185	222	195	182	194	200	230	216
leuU	U00096.3	3322072	3322278	-	207	6.33	5.33	8.33	7.33	6.67	4.33	4.67	9.33	10.33
leuV	U00096.3	4606079	4606273	-	195	0	0	0.83	0	0	0	0	0.50	0.50
leuX	U00096.3	4496386	4496529	+	144	4	4	4	1	5	1	1	0	1
lexA-dinF	U00096.3	4257087	4259121	+	2035	76	110	94	102	59	92	64	72	56
lfhA	U00096.3	248358	250070	-	1713	5.50	4.50	2	2	2	1	0	1	4
lgoR	U00096.3	4594937	4595947	-	1011	7	3	1	4	4	3	5	7	3
lgoT	U00096.3	4593361	4594722	-	1362	14	7	11	12	12	18	12	16	17
lgt	U00096.3	2965066	2966121	-	1056	9.67	9.17	6.50	9.33	7.33	11.83	9.50	8.67	10.17
lgt-thyA	U00096.3	2964320	2966121	-	1802	13.67	16.17	11.50	14.83	10.83	20.83	11.00	14.67	13.17
lhr	U00096.3	1728353	1733740	+	5388	11.50	10.33	10.50	12	7	6	9	12	10
ligA-ypeB	U00096.3	2527941	2530201	-	2261	30	30	35.50	20	18	32	30	28	31
ligB	U00096.3	3819488	3821288	-	1801	2	3.50	2	4.50	1.50	1.50	3	2	1.50
ligT	U00096.3	161501	162031	-	531	3	5	1	2	1	3	4	6.50	4
lipA	U00096.3	659251	660301	-	1051	49	57	50	77	44	44	42	59	49
lipB	U00096.3	661637	662401	-	765	8.67	7.17	10.67	8.67	6.33	8.33	7.67	9.33	12.33
lit	U00096.3	1198590	1199588	+	999	3	0	2	2	1	2	0	2	1
livJ	U00096.3	3598555	3599762	-	1208	1	6	8	6	8	3	3	2	7
livKHMGF	U00096.3	3592724	3597755	-	5032	6	5	8	9	11	7	4	3	4
lldPRD	U00096.3	3777289	3781017	+	3729	11	7	13	9	8	8	7	5	11
lolA-rarA	U00096.3	937328	939337	+	2010	76	84	89	92	57	67	69	55	58
lolB-ispE-prs	U00096.3	1260895	1263556	-	2662	136.50	134	141	123	114.50	126.50	118.50	144	141
lolCDE	U00096.3	1175374	1178564	+	3191	14	13	11	11	3	6	5	7	5
lon	U00096.3	458815	461242	+	2428	56	68.50	75.50	67.50	37	61.50	38.50	37.50	41.50
lpdA	U00096.3	127717	129394	+	1678	58.50	59	73.83	70	37.50	46	51	44.50	56.50
lpp	U00096.3	1757296	1757657	+	362	247	340	269	308	188	274	227	208	178
lptAB	U00096.3	3343299	3344669	+	1371	17.87	14.67	19.42	16.50	10.58	16.25	12.92	11.42	14.70
lptB-rpoN-hpf-ptsN-yhbJ	U00096.3	3343396	3347969	+	4574	76.70	80.50	103.25	77.50	67.75	78.25	75.75	73.75	77.70
lptFG	U00096.3	4486122	4488400	+	2279	22.83	9.50	25.00	7.50	17.83	21.83	19.50	15.33	31.50
lpxC	U00096.3	106508	107544	+	1037	127.75	110.75	115.75	109.50	79	102	92.75	86.25	87.25
lpxD	U00096.3	200960	201996	+	1037	85.33	90.33	90.67	92.33	64.67	82.00	68.00	73.00	77.33
lpxL	U00096.3	1115662	1116709	-	1048	27	16	28	17	18	18	13	16	11
lpxM	U00096.3	1939222	1940228	-	1007	186	168	173	162	110	153	140	145	172
lpxP	U00096.3	2495578	2496565	+	988	7	2.50	3.50	4	3.50	2	1.50	0	0.50
lpxT	U00096.3	2268826	2269567	+	742	1	0.50	2	0	0.50	1.50	0.50	0	0
lrhA	U00096.3	2405703	2406656	-	954	629	575	720	652	500	564	462	522	529
lrp	U00096.3	932328	933089	+	762	57	56	81.50	54.50	53.50	69	67	65	70
lsp-fkpB-ispH	U00096.3	25014	27279	+	2266	13.42	15.92	16.50	18.00	8.58	17.58	13.17	18.17	17.00
lsrACDBFG-tam	U00096.3	1601460	1608104	+	6645	28.50	30.50	40	25	20.50	41.50	29.50	29.83	27
lsrK	U00096.3	1598617	1600209	-	1593	10.50	6.50	7.50	6	3	4.50	6	10.50	5.50
lsrRK	U00096.3	1598617	1601257	-	2641	25.50	25.50	27.50	22	21	18.50	24	32.50	20.50
ltaE-ybjT	U00096.3	906852	909320	-	2469	10.17	13.58	13.33	12.75	10.33	13.58	14.08	13.58	12.83
luxS	U00096.3	2814218	2815065	-	848	162.17	168.83	180.50	144.33	117	147	121	141.33	129.50
lysA	U00096.3	2977637	2978951	-	1315	0	2.50	2	2	2	1	1	1	3
lysC	U00096.3	4231884	4233616	-	1733	7	15	12	7	7	11	5	4	13
lysO	U00096.3	913958	914895	-	938	6.50	1	5.50	6	2.50	6.50	4	3	4
lysP	U00096.3	2247063	2248560	-	1498	12	15	12	8	11	8	11	9	15
lysQ	U00096.3	781577	781843	+	267	0	1	1	0	1	0	1	0	1
lysR	U00096.3	2978950	2979956	+	1007	12.33	11.50	7.67	13.67	10.33	7.33	11.67	6.33	7.00
lysT-valT-lysW	U00096.3	780514	780918	+	405	1	0	0	2	1	1	1	0	5
lysU	U00096.3	4353200	4354805	-	1606	92	105	84	89	76	80	87	83	87
lysZ	U00096.3	781369	781444	+	76	0	0	0	0	0	1	0	0	0
maa	U00096.3	479367	479918	-	552	4	2	1	2	1	1	0	0	3
macAB	U00096.3	919235	922293	+	3059	17.50	16	16	16	12.50	14.50	17.50	17	18
macB	U00096.3	920094	922293	+	2200	12.50	12	12	12	9.50	11.50	9.50	14	15
maeA	U00096.3	1553972	1555727	-	1756	21	24	19.50	8.50	16	21	17.50	17.50	13
maeB	U00096.3	2576098	2578377	-	2280	68	61	98	73	54	68	67	67	79
mak	U00096.3	410118	411052	+	935	18	15	33	24	12	15	13	23	14
malEFGH	U00096.3	4242531	4246464	-	3934	16	21	15	12	8	11	18	4	8
malI	U00096.3	1698136	1699228	-	1093	3	1	3.50	2	2	3	6.50	2	4
malK-lamB-malM	U00096.3	4246736	4250474	+	3739	20	16	8	14	10	11	9	3	5
malPQ	U00096.3	3547986	3552510	-	4525	37.50	36.50	47.50	37.50	34.50	42	43.50	31.50	35
malQ	U00096.3	3547986	3550399	-	2414	11.50	10.50	15.50	10.50	6.50	11	7.50	7.50	6
malS	U00096.3	3737470	3739620	+	2151	4	8	4	6	7	5	4	2	0
malT	U00096.3	3553024	3555820	+	2797	58	67	73	60	38.50	49	43	50	54
malXY	U00096.3	1699313	1702129	+	2817	11.50	11.50	13	11.50	12	10.50	11	10	33
malY	U00096.3	1700840	1702129	+	1290	4.50	7.50	6	6.50	5	4.50	7	6	17
malZ	U00096.3	422495	424553	+	2059	5	2	3.50	2.50	1	1	4.50	4	7
manA	U00096.3	1688551	1689751	+	1201	44	39	46	31	33	43	41	54	44
manXYZ	U00096.3	1901933	1904746	+	2814	150.50	153	167	158	106.50	129	136	131	137
manXYZ-yobD	U00096.3	1901933	1905259	+	3327	155	160	173	159.50	108	132	140.50	135	143.50
map-glnD-dapD	U00096.3	185123	189506	-	4384	198.83	183.33	204.50	178.00	177.67	180.67	180.00	211.00	213.83
marC	U00096.3	1618243	1618941	-	699	5	10	5	7	3	11	7	6	4
marRAB	U00096.3	1619093	1620207	+	1115	33	35	34	27	19	27	29	25	16
matP	U00096.3	1018459	1018937	+	479	87	74	91.50	71	64.50	75.50	74.50	74.50	74
